A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,month,y
67.7472307,83.80040182,45.86038193,30.61013196,21.65656086,65.50596683,88.08370525,92.85058231,71.04238801,61.89167944,91.85577763,74.60234862,98.15232793,11.40483705,34.6112868,96.25548727,51.60089147,79.67334297,87.32609978,24.70345008,38.87421404,15.99001392,52.10990314,96.63251091,45.8196176,90.37049201,Apr,2.063423613
34.10608483,51.13794089,78.037298,19.83064978,24.95972427,61.94864076,58.25115007,58.20751982,86.86212717,82.26141726,90.0130452,57.83106359,4.646129532,57.00388575,64.49113696,86.62397755,88.76074891,17.39934991,20.35096566,65.59609017,38.57363347,78.67534292,41.84269082,29.2136689,16.64200578,3.456684711,Sep,3.045701499
7.48388195,88.30438079,13.09492963,80.18613699,12.48628025,37.34367787,87.27303459,84.56852593,77.34518985,36.92963983,26.40953259,11.60443746,61.78102114,98.77787659,9.82513273,25.66271345,66.96710265,33.83371164,47.90609697,95.01089075,39.19060297,23.44476484,14.59151372,84.45883026,64.17748014,47.77749452,Aug,2.435942791
46.6134918,71.52328667,57.1994522,48.71324491,90.60164287,67.43154824,3.723717712,13.25777976,7.872155846,7.328870173,39.08866825,38.72456685,28.85431758,77.69424676,0.725876651,66.17286846,54.60053004,60.04803404,70.3015557,20.44241687,83.03075548,84.22743594,42.73148197,0.765931441,42.99380983,78.40771928,Jan,0.043070326
78.73437817,49.1158029,13.88851584,47.77104635,70.00365281,0.198025376,31.61611219,53.47626653,47.51077561,31.13287895,48.58724184,94.64448418,24.52940888,51.71662152,29.65611224,23.6907868,98.15818944,98.10410238,22.44825941,64.70563793,9.41731862,97.78993619,0.469554127,75.10968538,47.80154165,96.16759002,Nov,0.92877556
25.81521457,59.61540898,81.88130651,91.40595311,29.89059062,54.97255727,67.3609974,74.68932828,63.64191308,29.07618776,72.5605194,21.41955747,17.46403131,12.5077064,30.78273336,5.726349652,81.27101379,2.410519487,31.55276909,92.92927279,68.06078402,6.661744125,93.27519111,74.11318737,31.93928948,24.88652632,Jan,1.65444712
56.32192986,24.8981003,42.74090233,56.75973624,52.43213742,3.70913935,61.32605308,66.56352687,51.96082192,69.80780268,71.3332062,66.56531846,99.15504682,86.56601988,84.05860405,87.37762623,4.746262465,54.59081538,69.57156019,69.41006084,19.73288552,97.57678004,64.25454759,83.9601003,5.33824082,91.46520289,Dec,1.105119484
59.63901393,79.31640278,48.84174195,84.48915892,97.84991149,28.67150138,5.564840365,49.02695625,50.90813001,65.76572343,31.76618202,68.82844844,73.79931601,12.10766272,3.909979241,36.33110805,28.13176056,22.13689508,38.0802358,60.9175997,99.41482519,28.92223796,16.21495538,22.69078319,17.65871424,64.0005977,Jul,1.067226448
12.85384106,79.05866077,15.80198498,63.8890532,48.82062868,50.2171366,64.923939,47.8440967,46.78665511,10.22442614,91.05205332,39.03637643,7.123568494,40.06421713,90.54804899,17.20565845,99.76916769,74.04218907,95.54639061,39.329395,7.480334755,65.8142598,87.30502801,45.95335872,95.68556887,74.32063644,Jun,0.9057614
81.27485028,14.31797496,61.46308462,5.800503085,5.523552972,30.51629095,28.74478851,84.28534617,79.09106315,76.49476179,61.47148439,65.81201643,95.73112674,73.94423871,7.241171215,83.43015461,53.04930076,95.19240665,33.4601288,9.234080064,10.26824822,27.72229647,9.187782366,84.96622318,20.73403414,48.96654633,Jan,2.530307707
