A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,month,y
4.161240611,77.19765949,68.97682359,61.77995571,53.2266888,49.11866486,67.21925103,27.489127,18.72919775,75.61951059,95.73279001,2.247117955,29.0052425,82.41617503,31.27437551,44.90052699,99.14672217,37.33108385,87.44207799,61.4053067,68.85103765,0.255701305,6.777589903,70.71494444,67.62131071,94.13719311,Sept,2.935851273
23.50371947,77.20603753,83.82698825,97.79765847,25.83083004,4.876152291,16.88440799,70.6220059,89.24135499,97.79473653,34.69435688,9.913388804,37.77719949,14.42568613,9.038190249,9.537018052,76.46259636,14.29018791,95.20232539,96.54737243,27.12130626,56.22416945,41.48006262,56.07746768,5.806341071,72.69148882,Sept,1.373875134
82.98953246,79.0475097,84.72420542,40.98154954,71.15832899,0.405409583,59.09731515,75.49914673,34.12574734,69.01743437,26.81349633,74.39871225,14.03126386,91.67577038,85.73070198,55.21864083,94.51849825,76.5711105,29.13947414,80.82340067,47.49614709,91.52214778,49.67948976,10.8869341,64.01701071,92.82329518,Jun,0.77992929
49.89451162,77.42067452,81.79780556,39.04126601,7.002531065,44.47798985,91.61002312,69.47318006,60.93919044,56.28503673,41.39013104,88.80541409,61.57844354,44.24835028,21.46630762,69.53258981,14.01275973,58.0598784,32.44132651,29.52901759,19.49475729,99.81093688,38.87152529,54.72879637,50.20374155,65.13685639,Aug,0.977597954
30.10520334,33.39490805,47.16202234,15.08921002,42.0913332,18.82914972,98.84377645,49.88003942,18.48294573,76.05170446,64.7084313,86.68566035,54.09636055,49.15337654,41.62220641,21.64893288,24.66557278,38.3601961,32.91985677,83.20022675,68.66910199,55.7315978,35.07959632,30.31832005,82.17452589,88.28158751,Jan,2.017090457
86.05364534,18.10303609,93.05725731,11.12324428,50.60678589,93.14986654,12.44519761,70.7057546,75.59344461,5.204733932,84.30041528,6.598353612,15.95324096,69.65760393,33.04985871,73.09649234,43.85197908,77.89278801,77.38810522,21.44587933,0.673987965,13.80266223,22.62784135,97.20324975,92.72591372,74.67733267,Jul,0.213308864
66.10269675,85.04933022,51.54433149,69.40090432,18.30116535,31.97758151,50.52937213,35.75671272,43.70614643,3.80036479,32.95748091,18.6271915,41.82898237,23.56705468,22.6987666,39.50328805,49.81199688,58.36671361,77.71871707,51.0911254,54.81262869,6.625684433,25.65662926,45.09575306,76.32698546,26.89638467,Aug,0.085071027
57.5369585,80.16448013,2.569148591,60.20379588,7.227116661,1.203529964,68.68103625,77.7305096,73.10269822,81.75925375,47.7566203,85.7543681,33.40519907,18.00902631,72.8687397,59.37935015,12.09427447,74.38428032,33.03622241,49.06043923,16.56454606,59.03453625,51.22720991,20.32434681,18.18436533,43.46183436,Jul,1.603481281
60.38243295,25.27750905,78.28695667,75.3722867,24.50036433,14.78651316,7.969802253,41.8609586,80.01343815,14.04408006,73.6558591,90.43609553,20.90897261,7.095036212,5.695284711,27.47723684,99.87330629,82.29130732,32.26519956,91.82880276,37.90560043,85.42110615,9.01337971,69.28448186,13.7860965,42.86917037,Jul,0.442970112
37.04706902,58.70735278,89.43630837,19.95709266,87.02839095,77.3194509,88.31451846,73.11169698,20.32321967,71.43924782,14.60406189,50.35798798,59.4081101,27.18962664,89.94628688,97.20087033,6.160225879,82.20287009,92.5096595,24.26507451,62.28507333,35.8275808,5.119783744,26.51575025,57.47081589,0.986343981,Dec,0.45414586
67.30728016,92.89510451,39.75435518,38.12164925,39.09319931,99.17761828,26.4671836,2.15003636,16.50011595,5.492882153,47.04717083,39.13947918,11.25269585,99.78157709,38.74246968,49.0079915,24.86528833,68.24424067,68.64890382,16.22705541,50.01544097,57.56909984,28.21493229,46.52482363,76.45552157,35.96222269,May,0.134180871
73.27321018,55.83383561,48.12501287,28.45014389,81.71930264,34.22213707,56.80112455,2.946178352,9.439296076,12.28211794,6.971717327,3.855168214,97.43899477,44.1551709,56.03605549,90.51913412,31.25224298,7.709901898,77.55165095,30.84168499,13.83087028,2.114749149,83.90958445,88.95278033,35.73529037,87.75617239,May,0.067340305
9.379126369,72.21776907,64.85001566,9.573158201,37.07843585,81.52487907,46.15193781,91.43218043,59.70959056,67.80904831,87.85750496,37.67938237,6.445821724,85.66784186,63.82630846,70.10384465,92.19952168,81.45221376,68.44633079,41.14784535,13.05264769,35.31889921,55.35091647,66.74767789,49.3025728,63.19242371,Sept,2.416306427
55.76132039,34.97369136,30.97141508,93.68459244,7.101406566,41.00537913,3.07970174,12.71472795,88.57550021,92.8183953,92.29689072,64.65105829,25.32641047,41.92056811,95.19334013,90.88926337,23.81344944,1.744874155,35.76907288,60.81419694,5.51647159,76.54592517,17.56451993,1.499054395,14.43997621,46.60423045,Aug,3.457275268
74.06187759,43.51432373,27.09345653,52.50552613,31.09404141,5.43961999,53.00269195,11.22382258,31.77939859,31.18450105,75.99459949,6.456501175,63.91812078,75.31327329,16.5806641,33.29314362,29.95950965,70.51387756,32.75474221,60.14669029,49.81476668,79.95190595,31.13388168,68.00135021,43.69833392,58.52694246,Jan,0.99385357
32.06013212,66.95045104,28.73462711,59.56926001,38.88691718,31.64382469,82.47248229,32.65885016,41.69544039,93.24000142,42.08386147,94.20470699,57.80842172,39.04789686,45.06041086,54.9359186,77.84653903,56.96370941,60.97765774,94.19691589,58.45252242,28.36925518,25.59991745,1.224236559,80.66406624,23.04309741,Mar,1.609130265
58.91687558,33.66082147,53.25206283,16.60838724,37.81516445,56.54213943,25.70159135,69.46541782,92.01073647,8.499659086,65.75121956,17.37743652,67.56858503,94.90591386,43.35218317,99.43903502,48.12912485,63.9661664,93.03739871,95.2006031,70.12616072,72.88648339,32.89150144,3.463803908,0.417351543,6.25867824,Jan,0.256189277
69.04071611,64.73440805,92.93672011,3.363656378,72.86747714,62.89054312,70.35467401,89.83986943,32.3015436,22.65948197,30.04920272,72.7080209,82.96478632,69.03945777,42.11769284,69.5188693,68.26931304,43.78996384,32.86729115,62.72796534,57.04553277,81.49011424,82.72784645,72.47065903,40.40530385,41.36455271,Jun,0.313284133
46.26792468,21.84629095,69.65119208,67.28618624,88.46587754,78.5428376,44.23103339,81.07365742,21.47659348,17.57715706,27.15175265,41.30461459,97.95744866,88.29539376,7.966353953,72.3379764,86.1106443,56.52200397,86.43618577,47.89522484,0.908712719,26.98802827,78.87140619,0.393026966,94.9707113,75.3098582,Jun,0.218853494
84.95705496,82.29376495,98.7906835,2.091858222,53.4839535,75.96683097,11.12740183,92.79156488,39.42734249,70.15818035,71.47776297,99.79320288,45.83231154,95.3484273,60.88699529,68.77039191,52.74279818,68.598323,38.61382899,74.68157315,94.21914449,78.99920632,81.39430732,36.92595788,50.40835095,79.61923703,Jan,2.040525098
68.32286981,86.64815084,46.26083618,88.55415706,74.41393124,83.45739905,41.76912466,37.25451884,70.56378718,76.16362295,48.61622229,38.92396201,30.71470665,38.59220702,26.37020003,41.67208884,56.44806618,86.36716138,13.70829716,32.47873445,97.5579334,47.71898623,73.26984075,33.5625576,69.45556963,76.98235203,Mar,1.517033605
42.46185313,47.05217008,36.04469865,51.09069277,9.936727596,12.26501272,14.57866471,79.06127948,67.9977988,90.99147011,59.77852845,3.897567634,58.85985767,80.83502182,68.08324102,10.42178711,94.39699705,8.686239467,42.61615409,19.28616298,22.53662367,43.38753853,67.60559854,38.20947124,2.609847006,53.04464541,Jan,2.20055615
40.54693968,0.283418423,25.79879133,15.63610393,9.044800676,1.081562658,98.3684341,60.73354418,15.73991876,74.9807642,46.24559181,61.54283776,16.65718775,72.15929192,42.55005622,47.57033697,0.530720634,35.78620106,83.17265738,34.8680989,97.98851145,46.09288983,41.98365591,59.4512293,69.34129576,67.3842278,Oct,1.433880962
92.35416767,34.23696131,28.76970866,58.22595699,53.89163234,3.971545238,66.08948987,19.91130994,48.65834506,43.67729531,35.44699032,5.287224985,21.60989495,88.8482731,64.12376488,27.10611403,14.6130672,62.08100501,81.54106052,29.20485305,39.10547635,87.19244065,72.67853966,36.14714315,76.41899192,53.69984113,Mar,0.664678544
88.57367393,17.69746716,27.74422557,1.517079684,32.3719416,5.405588743,25.32410633,11.2092045,46.89127132,37.73761728,31.73812113,85.49039552,93.48167589,21.1619685,22.11436029,88.8041642,19.9349001,89.25749516,96.70043997,88.2892628,70.47866263,60.69018366,4.192435879,7.461714524,3.042160397,36.13717034,Jun,0.510748018
