A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,month,y
47.08503321,91.41317662,26.57835477,41.38264484,46.99811138,9.480806892,11.71676135,72.40171578,4.168321818,83.60783945,78.07844847,9.31380361,41.62772965,5.058540178,96.60586869,12.83784663,38.83767398,83.99727102,60.18685367,16.83155603,83.21544471,84.39631392,76.74799945,54.02727321,47.39555112,57.81337765,Jan,2.639735879
23.30284286,77.95866736,27.16312782,33.04868417,42.34490599,20.71384966,20.39140048,99.39441229,68.16106561,98.31825523,59.03068534,61.65900937,34.73218356,73.12162418,21.49217882,5.902624729,10.18996013,60.29557307,81.6198171,20.72458253,13.69654185,31.04031778,52.93884031,48.45798505,15.06795247,11.12795141,Dec,2.344101721
78.84817991,71.12495998,78.11627133,31.33401365,74.30779455,31.36424852,99.01724826,84.54893675,79.37175049,50.92926714,22.5117337,67.88766259,18.1360169,54.41558994,94.00240289,44.39087202,87.94032991,51.69679754,61.96421234,20.94731716,57.80819629,45.22247873,87.87808959,56.19065657,95.69483207,86.72602823,May,0.508579597
1.072134788,87.95870829,95.83763791,45.24085609,75.37913597,26.52048795,3.804642481,39.81188926,27.27702234,20.11250923,76.4122712,92.5932636,96.62954357,41.84012485,17.48700293,80.89773799,9.080495855,38.01735848,63.72153793,91.58959891,58.0241868,81.3704694,17.43059518,95.4855684,1.425251339,46.39089872,Jun,0.631375278
9.855675871,69.90434567,15.71362437,7.245542438,59.05320804,60.2751331,34.5886671,82.63836044,91.5077062,26.94751119,95.90763002,46.12513278,45.47202991,66.71409828,60.23527448,1.419098329,16.29721261,77.27107247,3.857261445,0.789832825,92.96537757,69.71946839,65.03117801,58.61596185,46.40908078,40.71328354,Feb,1.065318035
62.78626628,17.82053572,34.61306065,71.8212872,38.37536303,54.61532086,58.47315387,45.02261907,1.953570824,38.15974888,38.04279174,56.10910572,14.30833122,66.35972477,76.99195516,10.26962401,4.274194597,96.47406896,39.92013049,99.66444141,91.8999172,16.94853617,0.986237668,67.58079394,13.49131113,61.2864018,Nov,0.61838911
33.57709387,5.789853724,97.43723367,95.18433664,50.7465447,90.57695532,70.190912,33.32689134,96.82348651,43.67280564,12.50050431,16.98944011,72.13992212,61.14205668,11.56984127,49.97384323,84.3600887,44.88172582,68.18733266,14.37571659,21.53281136,80.0560919,9.13289957,4.082371091,72.35339133,64.12685289,Jun,0.248645631
89.05763833,40.60901377,53.06065298,66.96184805,23.61240363,26.12352105,58.54517477,26.48806947,45.15233886,81.57532599,87.98509116,30.8147039,3.746782159,45.31664341,78.20479891,56.45780528,70.37555731,83.26734544,36.34655996,28.09575446,69.16656613,93.23433388,1.462828318,73.81166049,22.20760442,24.45053389,Jun,2.923937096
53.69087557,19.99982686,3.700443478,30.3417197,64.11183241,0.60796549,20.35280154,84.45974987,6.629556443,56.6814835,22.46145578,14.65574886,20.28699731,73.47163086,50.33434096,55.8851138,34.55535882,9.153415415,78.09068028,64.66015827,39.31646201,45.40087904,84.0867058,9.529523755,17.80762091,39.73995673,Nov,0.530595761
77.50300052,1.550913449,10.78741933,98.71210575,99.85637839,47.36731794,86.69371091,74.03398981,84.51464809,35.63438408,62.60288318,17.54027629,42.25922169,99.23375994,22.67845639,34.51859646,28.29046289,67.61344879,8.908478614,94.00772799,45.5513928,79.44973891,36.52702656,60.81187125,40.74738082,20.90013939,Sept,0.946355363
5.337836181,93.85424077,4.76531645,34.87701241,29.38440953,82.64910959,1.765981226,39.24545251,92.38750037,5.157028237,3.936391083,58.41413768,89.43565143,15.9974265,38.27588565,90.37112742,39.9640366,48.38343699,5.279971474,76.05521791,30.42100737,54.46695995,98.74720386,90.89997943,52.55434506,79.48307079,Nov,0.010504672
75.96034,36.83178219,88.46864738,5.981934937,7.108829597,25.47427935,98.30192383,87.27418312,44.40575471,55.52669148,1.795855997,30.84181449,4.465363585,53.66124744,7.249734058,15.71359882,55.88377206,42.71670484,32.14079573,82.11552387,62.38006318,4.203672669,52.77829991,11.71918766,51.61958526,79.30724879,Jul,0.084928993
75.94725173,95.01329922,71.92273374,48.98063504,93.291801,38.84821568,59.38125719,84.10312183,31.2287201,68.74182031,59.99040226,80.61717122,24.31328442,61.52824672,99.4304759,26.77520977,79.25241093,57.61979945,46.05187794,16.20832061,68.30391485,42.1783152,54.94655849,3.971935182,73.82094212,59.70438011,Jun,1.694541689
72.13614404,71.43515204,8.227207954,23.30038614,88.22888261,55.61812263,23.03397574,64.62204088,97.60141625,23.10877674,35.66465418,74.3145771,1.667277555,26.06697682,34.99563026,57.6930815,39.97736239,58.36971207,62.04500054,11.82076161,56.20489587,49.97831811,46.27749835,16.10673919,89.17423561,24.54634585,Feb,0.358136965
70.45859186,13.51377261,24.54354949,37.66650491,91.13119046,78.87412032,89.13625089,73.91123316,32.74421032,11.02252228,43.57065035,21.35732894,65.58466008,38.69774688,61.83965418,11.92463567,81.93878832,15.00526423,19.87775857,2.190567884,20.52417696,58.5914714,2.797393349,1.955246701,79.74927462,56.01084826,Jul,0.241650109
79.38084733,63.66378146,15.19146399,5.203287972,6.874693964,35.52776988,34.28413797,60.26759824,80.51078496,78.26625317,59.97365038,23.73514609,20.48550271,91.26130684,66.33327426,41.6160631,68.82461124,93.52344204,71.20076242,19.4984956,57.79818795,89.20748642,44.20493995,61.46723378,35.95660285,51.57871037,Aug,1.915721303
