A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,month,y
53.42593656,69.51782757,43.72524635,51.66424864,45.83591938,46.64195403,74.76319393,15.86103942,20.59121404,67.79359388,72.85316027,62.89350398,6.888954563,24.08002281,79.0412507,83.38957866,37.49252591,40.29400063,31.32488879,9.583360943,91.99954823,19.69935305,33.37270529,99.84479817,66.38449549,67.21967209,Jul,2.023275802
93.55444043,98.60859426,3.171177493,30.56372041,99.01846664,52.41123531,55.94544086,94.21216463,11.27625226,77.4834606,68.95820896,58.10124883,77.56186749,45.17864418,80.38598952,61.14316481,45.57218533,71.90126807,49.74691091,75.51100162,57.21407265,75.52735197,84.89345289,41.64153434,90.04077231,34.13040245,Jun,2.186534429
82.17618758,9.069840425,6.321252613,54.84161571,82.98005225,68.78861111,12.95875183,64.5320172,51.45335409,81.05211109,5.437509658,73.44447707,33.03294948,23.11909372,97.87214236,94.11825048,94.67932845,73.29012733,21.26140534,89.69655122,90.95307422,99.24814524,64.58995619,46.18692415,98.68667071,72.42034712,Mar,0.19769902
50.42924239,58.79859979,24.04755568,37.59928139,15.70702469,79.53011702,75.86804333,88.92996604,58.62334447,16.46624901,78.82531719,61.3682299,59.59559504,9.283158493,6.851638222,90.73616036,23.76134171,92.36242319,85.88152172,77.15280706,27.75135432,67.10154545,69.48464985,99.0881098,36.73651395,26.66081411,May,0.567794245
76.78543161,74.44975304,50.78821142,39.98467425,92.96912012,62.75748302,93.44518861,87.62351735,44.68437136,15.64685687,76.46147704,40.65967255,27.39289367,57.67526774,76.38674404,84.34172099,18.96016484,87.50329295,11.35378523,23.86863734,72.07826659,50.90578098,79.22293951,32.5162758,59.81139504,78.44201458,Aug,0.537235653
4.822442522,17.28484197,4.562757165,84.36382944,79.68649676,97.09161739,8.481053752,6.07501547,42.23429346,49.67216352,77.77082386,80.31851215,51.66544825,61.07288997,95.30002754,61.72511577,40.75572822,14.24396983,46.80590313,69.24564015,38.51090121,79.53082641,97.84455952,55.66610053,5.678928283,52.7455188,Jul,1.564281002
0.564043141,41.57649647,12.14639709,62.04098726,93.0717587,2.443293708,4.292431592,8.647728189,59.89706549,22.64501319,5.228649028,88.02753758,6.835150189,92.72080865,58.12423608,16.65182999,4.070294396,81.81723482,36.43069927,76.36827765,60.02017531,9.592412859,95.16222391,92.80011461,93.69771847,88.56021909,Feb,0.049807398
82.65865098,29.45427073,36.82867499,1.970449017,36.0578704,43.4273584,99.01595892,10.32128252,27.07566532,89.39540192,92.78353704,67.49845702,84.16195083,91.31268539,25.33764808,89.07416865,11.54033148,76.94844207,94.46577228,97.38650224,29.30268062,44.85745654,59.04255401,21.79792958,44.23732109,63.8700068,Dec,3.382561859
38.32220327,54.57601549,51.82635322,44.79796722,71.19686539,78.3997628,51.55728592,7.990925439,16.81345184,30.40253849,18.34274291,58.91300769,93.70372211,78.14464456,17.25559476,94.19986653,96.11792751,42.34295305,9.364894396,0.998964648,61.23102561,16.35357202,93.73043864,55.31587866,40.26645363,12.77088059,Dec,0.249866554
42.35902973,35.72234703,97.04081454,35.22937057,5.151241881,70.23174043,62.41275958,33.08796641,95.58391657,78.24969162,49.77747049,5.710642106,79.81332333,60.88731492,40.23025233,30.15844026,52.23145823,75.04610934,30.1108879,51.84508579,6.916787115,6.472867402,42.17638586,29.52419834,94.85885864,98.57162384,Feb,1.595179814
