A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,month,y
66.68663234,87.06417043,83.39005359,17.82745749,37.83581326,60.9734948,53.44526268,58.35364658,9.883581891,50.13236197,57.20905633,44.03332903,3.90312537,21.47308918,47.27495104,11.40096521,14.32339676,67.91459455,75.54607288,95.09251319,21.15480334,72.05270575,29.05900543,83.3475532,2.957370291,73.72474256,Dec,0.074193004
52.41170541,5.540822005,56.1337933,4.750271462,73.30752935,56.07174008,15.64633534,39.59113626,73.96182144,6.631345556,3.32136512,80.2378132,24.060215,28.71782177,82.03505575,55.02041233,44.98462165,18.04812895,72.42762649,21.54952038,77.04613507,21.66079755,35.80958505,69.59345617,79.24782426,95.65451355,Jan,2.201125918
34.70148919,0.582808425,32.35007985,76.03656447,46.98025395,26.62152948,9.046361171,3.989034539,17.37306654,18.62423908,85.07407079,89.04448016,13.73330118,56.33254775,9.70684299,29.58197159,42.31357821,34.67262443,26.76420393,45.48247669,10.37989884,52.79202676,80.66796187,29.53605227,64.37965572,86.83050849,Mar,0.122042648
16.3728707,55.51763084,74.0038008,65.64367009,6.060945174,83.57477854,47.54145262,38.12977481,38.55707474,8.131717372,75.75941323,19.82139644,21.76103493,48.29257448,66.57285515,87.69317223,27.79859326,44.28650926,55.20427227,32.56630127,22.37684772,8.152879784,25.63209928,34.91488776,58.67233219,27.69602042,Jan,0.617201664
91.0717164,3.56559544,27.77652537,39.56134337,11.20946424,7.403653223,40.85625558,32.65703758,84.70291195,72.29314989,69.6671229,21.13064646,84.28416016,94.87821633,0.937383121,93.80612808,94.80002121,12.02177888,74.87731257,81.6961874,77.15430346,29.32134731,29.83087482,14.87853331,15.32364311,86.12304712,Aug,2.880343547
30.7204755,78.68182029,63.34897817,94.33933079,65.77699572,29.82039259,31.19109102,26.6883238,61.00999883,12.71915338,88.09035415,62.27125584,42.61630143,85.01765908,51.87916994,91.24469313,9.080490943,7.51920178,94.26516435,63.72107903,43.61076338,23.16573819,35.60558595,40.37292049,63.69358617,62.36360937,Mar,1.512630844
18.01709207,5.0575965,49.33703577,99.98963349,74.0849114,56.43157998,58.13995522,73.94067116,25.53737626,31.73992711,79.23160302,0.618893525,94.08002335,61.28568137,8.13586205,54.70125788,63.39134738,60.04752412,26.64112221,7.037245278,64.53697606,64.23596791,64.7038918,14.36624798,92.74643503,93.63822464,Jan,0.284056755
75.61130179,91.79475117,63.99970595,27.24896861,66.66947225,90.0123907,59.54368621,39.33243237,49.41955735,74.4475338,7.953728585,10.67204332,39.41980045,0.372369693,86.53755647,51.38106682,22.39222697,39.51111937,44.66223699,78.74233159,70.52244523,81.50537748,53.51886455,45.13024023,31.8664106,35.54378229,Sep,1.007075739
0.994530727,60.47719652,84.55538302,81.3941075,21.54311644,90.75909454,0.966577584,71.25006643,17.34830778,73.58994321,37.11173678,11.527303,50.50900143,48.21456611,6.188168418,46.05635603,63.5314074,66.34311862,68.97226736,82.14596648,43.14191233,53.71533521,85.79478088,66.18817237,19.3915855,78.55871285,Mar,0.153855972
69.15677947,32.1353821,99.6751701,5.287262864,52.98703425,71.58521068,80.8715739,40.89600437,18.58890869,46.65492617,49.9007197,77.40379301,29.44440422,79.22912149,47.71901462,32.32177186,43.14870919,66.75284664,20.0069885,5.919887733,23.68441816,30.81837619,11.84710277,97.07419501,74.45719953,31.43003592,Jan,0.156914888
10.28231291,99.85089101,99.77309793,60.79533526,67.62165163,29.60272711,4.662404654,40.80200124,99.19948581,40.52782083,62.96505095,4.884264283,41.61623282,23.99888602,7.344113049,60.81952578,11.95191228,48.35398261,89.37192909,51.20840571,77.92936575,67.97473866,34.73709876,40.28218345,48.70218585,12.27106518,Nov,3.968425973
96.94635021,54.03498728,18.90785185,68.88953201,68.73799197,40.10294988,34.20600126,25.51210275,60.24717506,68.11469182,76.72823184,46.75382206,76.97706493,11.25759765,5.551277907,96.27196001,48.06185187,10.17792866,82.84760484,98.69994047,31.95966087,86.04289063,40.29588485,24.91648414,20.63915308,11.46498813,Dec,1.470549469
10.80522403,3.337240952,19.66358614,76.59999202,22.25627942,32.90487988,60.33289011,74.50147296,71.06103029,58.27722336,77.6926704,81.51930693,63.29798811,74.78474012,42.9347063,94.06027882,49.62777761,87.76703499,26.21881861,26.15176725,9.474574966,57.05479987,50.17740991,12.74219847,50.28179987,65.37312772,Aug,2.0428859
5.169420392,32.38444267,76.07094286,29.05423948,81.45666947,98.25937284,8.063083285,83.65720693,42.39103806,87.7287707,95.33291224,84.44138452,33.69126823,74.23836803,55.0543738,66.21635522,10.05131939,64.57909255,8.520064641,86.39654818,48.47135073,59.34995014,30.92674905,37.15257062,57.19428328,14.04344425,Jan,0.750374094
21.99309994,55.48564224,19.86035459,71.40599069,22.58832346,42.5329515,31.48606782,74.73544518,96.46927817,43.48506405,95.52395631,71.46771482,16.47526492,92.03494315,19.97518804,31.11407761,35.79325921,35.91409736,30.50844624,16.52837342,47.60418693,1.926576862,34.27064857,34.09347752,19.23525823,29.07063968,Dec,3.756246414
11.76608625,44.63084344,29.60347097,85.226278,0.402371532,68.02580802,30.80877364,6.877467763,63.88753031,52.50988364,63.65428103,20.29116954,28.62298927,93.02195792,73.95251071,66.43389422,14.30874452,38.30758806,63.70571957,34.07684948,0.569177251,63.47716129,4.296712758,13.12515204,92.59108863,5.387309913,Mar,1.643636021
25.08141559,13.00256214,13.21873139,17.38272493,98.98628925,71.82721545,42.08035523,30.80995891,17.14607423,23.61942848,33.24751244,90.69980426,77.87836361,59.54296976,95.07121118,69.24092473,61.52580301,62.19002189,43.02049551,87.81712422,71.38835912,72.6404206,88.14361135,11.45275601,26.36115334,37.15776736,Jan,0.129438645
25.95800267,32.31544591,39.57753379,33.74654986,71.51730679,3.705424637,36.50156118,39.72073909,27.27801934,8.191365582,91.29790598,16.1555588,14.1723248,90.96627413,28.36879186,94.3992861,82.35128914,47.80372139,0.221457288,29.91846804,88.18962698,5.691227297,36.22260301,36.84725841,68.52836573,41.56980719,Mar,0.316015447
14.17761196,13.54328352,77.5002302,45.70388784,25.17299819,91.97914825,75.36069031,46.26807794,30.15993373,96.01969419,9.847102794,47.2870479,32.27687297,96.13798575,42.7029757,29.94322185,23.65748983,27.69978929,74.57551458,55.19789765,41.20191171,40.32955636,19.8644284,37.99323092,44.66937678,1.719764381,Aug,0.380437721
37.63206141,42.37008276,3.633909956,57.31701804,40.27595427,31.28502955,58.09626411,95.15213763,2.109980025,9.412606339,95.55256251,9.584307761,77.57310616,37.01354152,74.38716826,42.45753522,8.984395709,13.00832942,81.65496289,86.85741533,16.13213915,32.95881507,43.98078728,32.91561031,75.19810909,72.97318079,Jun,0.038800464
54.57944476,50.58374294,7.871605362,36.57415854,76.2038054,33.16888861,42.12415608,73.63084086,25.74849799,60.92969389,72.20418894,41.46151131,39.32727239,1.176291703,16.33315207,99.61674926,80.31921123,3.161423466,64.61545626,9.563663691,64.21957633,19.98233846,14.91195445,17.37847852,63.90718983,77.77647893,Mar,0.29740006
22.71853801,99.76354916,45.7233142,61.19727593,62.47589574,18.61797793,14.77129399,90.26933825,35.85584326,0.183929061,71.83419441,35.9123859,69.66992571,73.75608315,65.22312871,37.65816942,4.517812398,24.97258251,84.48944618,10.19809637,98.10014398,40.31755398,20.00872749,79.04078018,69.2522677,67.68434114,Mar,0.56129011
18.05369887,93.65171551,8.251788897,30.67513386,22.81721285,92.22172435,39.25915409,31.00088534,94.23897595,42.75071197,84.96790952,91.1204213,4.508378596,80.73234761,88.04219542,40.34845537,74.7606211,89.02280788,14.76160799,45.94315555,39.95412896,8.267627455,14.03104815,6.576489325,30.8828046,95.50239894,Jul,3.580424444
29.35095686,48.07156395,64.37535685,89.83735965,31.45114287,71.57814187,0.544074134,73.45532202,15.99425147,35.78068288,48.40527204,24.71774876,65.59328972,21.56761722,13.17642108,26.63659878,79.21894325,22.57399705,46.67833119,68.38833864,52.69522222,32.58428821,98.61759304,93.92844924,26.88113737,79.64453498,Jan,0.133977341
48.3427874,46.24710197,75.97654456,38.14516144,49.92276336,3.976692475,32.1667321,30.56632112,11.46977963,72.97930146,54.28176469,82.59476646,74.6388187,67.48042539,71.70121416,26.36501136,44.23912997,13.76683239,76.86034508,74.39451333,74.5281061,55.14088954,61.32191762,4.884905673,6.569424795,71.58402657,May,0.071041655
20.13969795,56.82504215,52.21872593,87.0362338,95.95345905,28.51309861,26.66501491,1.587309437,16.98402617,92.39113059,18.29433158,1.034855908,49.73648581,41.87725306,25.39882019,51.65266833,95.79209612,16.63746791,48.9487055,90.02762976,41.87354416,48.19350538,38.50944836,29.44646331,89.93422289,47.35451611,Mar,0.127224059
83.4539803,89.59379318,93.50888223,86.30350112,2.305285179,29.08903462,20.18089654,23.3580118,5.590225213,91.9534696,36.26469486,98.6115398,39.06950818,90.24619958,13.68325563,5.082535576,51.87387832,10.66246879,35.33550251,94.93169044,54.58093163,42.28217586,51.38929784,90.86292113,44.40428929,80.7811674,Jan,0.037426409
62.47216681,64.23452578,10.89830806,70.36478999,1.249160457,70.34551491,64.21433421,27.6758937,49.61976123,15.5491402,17.98296963,27.01855496,4.868027289,50.63039944,30.41779118,49.62168582,3.519545809,72.17522999,57.83017083,84.14802969,65.3455698,27.61802702,22.09146211,1.659302385,73.15360149,21.49731921,Oct,1.005997955
88.56789369,36.47256523,79.75644562,45.92970278,84.77450293,36.79821768,82.07476631,52.37716309,73.68524371,75.09063214,53.81745625,48.81915244,51.3995844,24.41919342,54.47143783,80.30944086,49.50599397,7.655459204,84.30654897,8.54604941,37.88363086,46.33795443,38.5919218,40.95761976,83.10943602,45.13716121,Sep,2.194813718
39.37374059,46.76172307,52.38646694,88.65933172,75.48456931,47.59616144,6.360585093,24.30261286,42.18495357,86.44383122,58.03167555,37.40247157,75.40147246,2.744912112,56.91502489,19.01557066,51.86027065,14.31729892,19.84818391,60.5816255,11.31559614,91.64355961,24.0004524,8.677810623,77.0354599,37.50226375,Mar,0.728471252
72.53157601,94.00587685,8.253225378,74.27763098,29.07567777,31.92667401,62.87838665,95.09349034,26.07873475,62.96114365,32.07951976,84.0421443,48.07431341,33.38848954,58.29575217,43.0494614,73.77375046,79.37895118,83.82672568,98.50986136,11.67154607,37.70178831,5.595098581,10.91536049,88.96042867,61.50547311,Dec,0.319569385
18.27668782,4.801139129,37.70164155,20.41753806,47.94413818,47.55922801,81.84771663,60.70581276,45.74680504,4.661366831,98.23171672,86.82225096,60.56284045,34.50450329,99.99984164,55.39432132,85.53436384,2.559925334,57.84775207,72.83779436,6.98735431,12.70281844,32.27854502,29.43103866,67.84326761,39.37170077,Jan,0.85628004
18.21763399,98.23458247,81.13190128,25.41425613,16.88525723,54.7820803,57.28905122,23.67976654,48.08913718,30.47674131,52.82334472,43.26431896,9.379836104,25.93824831,76.25021532,65.72897992,70.76508295,68.69017625,35.56588331,57.82434649,55.24947759,94.47819904,65.77257555,98.48605798,46.41598493,41.50039711,Nov,0.951776892
87.61422768,3.867479159,89.07757114,72.21102695,77.05885969,71.59527518,25.86130125,2.376888394,88.98667573,34.17194277,54.70866897,67.86775809,75.83239488,96.35461097,3.817861454,52.19160786,38.48171025,62.00313082,38.82503326,29.10650391,49.22554292,95.56476253,95.82741471,64.38522898,53.75727234,83.84128225,Sep,3.168937945
53.17328997,76.65062508,69.13536393,81.58419711,70.80399278,49.49031095,3.724673002,41.67341321,77.981575,98.46721059,0.159372647,14.2631419,78.70666886,65.33441382,51.25163229,60.81520152,85.91793905,75.00901965,66.49605916,3.081034304,45.46190047,36.97904361,28.464724,7.106100781,25.83958261,70.70215024,Aug,2.460282565
28.28581585,60.2470349,68.86288213,37.63384996,66.91588332,96.78020504,22.19871107,28.25325187,19.83124963,7.192329396,63.25082762,16.58100962,35.73712807,91.53392863,52.13623527,9.357825092,15.79706789,8.218437,99.49124445,14.83033572,80.15119643,23.96280209,39.43470513,4.084670588,48.14940166,85.14177274,Sep,0.177836767
81.47286949,50.02269728,93.10855219,16.99057006,64.30846623,32.7861291,56.84546209,4.302147228,49.3865377,13.31091524,87.32158259,74.2712418,31.68467883,49.46302478,72.48750607,66.87987726,65.14017126,69.96352622,89.21468745,93.92708845,88.05167788,28.12170915,12.65919102,76.95257022,51.35134637,48.20024124,Mar,0.986907226
49.96682023,15.61204794,29.02777365,59.39827601,41.50965498,32.01188533,90.56474751,16.60959722,36.58464727,23.35338831,63.1215434,0.376043714,9.380809971,86.15200825,95.40025356,58.01108727,53.77674477,3.988722263,88.58775519,52.81640269,30.43092912,77.52292897,12.40610032,43.26559507,14.09490988,55.86322557,Mar,0.543479855
25.15433493,33.63263908,81.56079022,47.37071598,98.85974285,79.38104231,10.36422583,62.55548528,4.940166378,3.536496466,63.40686001,1.452468233,29.66139402,29.85592524,63.05533198,53.3154371,10.15912953,54.5462871,37.52781444,72.60201535,69.49977041,34.28634224,30.77976728,45.02722404,53.17481421,99.67174711,Jan,0.035255271
64.51443897,66.87187323,64.0344318,54.45095631,90.72623811,83.75431033,23.24550984,4.910795782,99.09894613,52.47057766,52.04979657,37.52948044,60.97237003,63.77465472,38.79468953,93.46307625,49.95421571,62.90676391,93.63726705,74.8171183,61.13023362,32.339893,32.0235653,88.99274353,5.624054296,42.96536627,Mar,3.943088063
47.00667237,17.22217993,36.99062783,56.92179938,94.79330232,81.31884545,40.9526034,8.93233617,43.597575,81.14031048,11.88223503,38.90035553,1.126181176,9.973145551,70.20057428,69.94337395,23.4775711,79.6175331,51.40185225,15.79592057,64.59272849,30.2879951,20.6654213,11.9441145,52.68559033,56.84434012,Jan,0.766423555
