A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,month,y
37.5506967,54.16291046,78.00064634,78.31577726,99.51801699,51.34021138,96.02015216,1.469289537,35.93234801,34.06576688,39.89624019,82.57628944,68.61134197,23.55903562,25.98098487,79.69057695,79.7167862,71.95822809,72.8050954,92.0676484,31.87927417,16.58372456,70.61780319,52.57013218,45.95328401,51.43419975,Jan,0.527726822
36.71504411,36.86551,22.948168,40.27861023,19.51683105,56.39817706,66.84106038,14.88193982,55.22736731,86.60433223,20.00939927,97.33216793,57.66985597,10.97761738,38.57767395,76.5732852,52.87863141,93.08277381,51.71693175,11.5747093,26.74438999,76.47643841,91.71816164,83.42373772,86.98067097,20.53589544,Feb,1.231862524
27.73175745,25.1977317,7.256231637,44.75887227,87.21373533,85.46030991,94.85500645,54.04807059,3.064263728,73.0269908,11.00840016,58.78086495,12.03788491,27.71554299,45.00733205,40.97838934,99.20031867,66.91595485,19.88509649,7.642010878,91.26374826,84.9479508,76.38457823,11.63809128,46.88955247,32.2856848,Jan,0.025009852
74.32862024,31.35155621,5.640940861,56.87981037,70.38526747,20.77885529,71.2948689,44.55775861,14.97203072,77.35094555,43.43662087,98.55756833,11.68719401,84.59081729,23.72323062,78.49264306,82.44989377,83.95488528,53.00894555,42.62085151,96.59470703,27.10643196,61.95323676,21.08101744,64.72010421,86.55039305,Feb,0.10930232
64.89316001,19.44631774,28.51270642,6.727051392,64.92141874,96.05776948,51.08460712,11.90442244,25.80698526,79.0194228,68.4625145,87.85792286,52.09242913,84.99235822,1.953834387,98.55007087,22.60485816,26.22276553,80.85919953,73.91680523,68.64324085,75.07094754,36.7473033,73.84576904,69.2148918,11.45025167,Feb,0.273860786
51.38713109,96.54712421,74.89675968,59.33823927,90.19488995,17.89223949,74.27387088,5.424019687,53.0335378,0.955099901,87.49475285,29.69972515,70.80694393,48.97484027,91.0960719,22.03181167,88.03989587,52.66038227,46.67948209,65.26790427,85.36048093,70.58732836,37.72057556,56.28030866,55.22182161,46.95918873,Feb,1.145959083
44.64672824,51.82610258,49.19919962,15.66786865,35.60925673,1.224715645,66.14168577,72.24450515,81.73432395,54.1618452,46.47884404,94.68272699,42.11164643,98.70849383,2.840022241,25.45967354,33.60684398,19.72352099,48.14112892,38.58501969,13.9652061,82.74520311,60.24551411,66.34874196,30.1563241,40.1077921,Mar,2.704238457
56.07855044,96.91678939,80.07361047,57.67674662,37.81894332,39.76315472,79.21802342,96.09397129,70.12121689,85.53573301,29.98603208,22.30372277,1.242511185,34.46965862,46.59908599,25.98768783,93.48428653,5.803602427,85.65097467,89.97169639,60.93512164,47.25038552,68.46026377,72.62404145,45.97239565,55.50754002,Jan,2.015005573
99.46784665,45.44306816,12.44589203,75.58769038,5.920376956,38.70908346,4.904609958,34.63286336,42.05986713,53.37396365,9.482663619,90.51253463,36.66072404,3.441712525,53.75541292,30.88073846,38.65027021,13.1849371,44.43105656,91.39177662,10.68112583,37.76561896,22.09123839,35.18531278,23.27864552,44.43457831,Apr,0.727091442
74.28837541,3.980381982,26.45648665,22.8468449,58.69800695,11.9508932,19.101103,28.6443606,62.57353503,79.48490364,17.47012168,35.23342602,93.71957032,2.388502441,68.46136158,3.661217913,13.88263652,89.82090044,12.10483543,5.052290319,91.61498066,28.31018429,15.19477299,94.96560638,51.32640876,55.55147964,May,1.575568299
30.26000051,24.073671,61.03382118,90.92706044,66.7933487,95.00464249,71.59398375,13.01750894,97.32870644,24.4822816,55.05451707,36.39798354,87.48055106,47.25039919,88.13063799,5.359512931,12.7162353,28.21518068,11.88137559,56.28176636,31.29953483,35.14132615,83.93891935,65.94502315,8.439752366,22.36065462,Jul,3.797870826
