A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,month,y
42.90780126,3.206409395,30.61249478,11.39794279,22.11289009,76.3021391,73.16064872,11.23610124,28.76196135,92.28482104,83.8032734,98.94211317,20.98582175,30.99374418,50.26184423,48.88002716,22.04429572,45.37792438,81.33492434,1.899253815,74.31480375,12.76077456,13.95665054,9.56872963,96.93897663,42.63659188,Oct,0.081029743
4.667710036,71.80288175,93.68548803,31.24644913,96.92327545,1.172259439,22.22805365,22.37954879,84.79863468,31.33444467,85.67191196,33.39051127,43.60183001,5.174345893,97.77461054,13.03864331,29.20403364,61.88262486,14.64136298,59.85390915,98.74934941,13.11530047,63.73584067,65.75998793,80.44124728,90.13563711,Dec,0.20793964
62.27616751,88.28864073,88.03373341,25.50645515,65.11649311,79.33584523,24.49464895,81.5552292,28.88271153,92.94711478,61.00565461,42.84798255,25.39565403,33.10112613,16.76347235,77.80300934,80.02949151,42.98327934,22.2656801,24.77409116,62.26069812,0.165094286,58.14901281,34.33963843,27.32885309,4.993912833,Jun,2.680305792
9.34461319,89.20332046,9.582089123,44.32761556,6.841039119,17.93916218,11.3491272,15.91980919,1.989989115,7.426286989,7.15435791,27.59424802,3.286195835,67.52283674,12.22301209,49.54804959,56.43690634,85.42447545,57.17883889,79.93586381,38.74703446,99.51178401,95.12240058,32.93316034,99.21757545,43.21765719,Dec,0.106649791
29.72945213,11.0373925,61.71459146,97.20379307,45.39740137,32.56536228,23.99561171,20.35756161,61.44854429,19.37932232,57.79626624,81.92874052,80.18814008,55.99194778,42.54853688,77.64908663,9.998062522,91.94453469,43.54980372,46.75526404,62.97345179,22.64125584,31.12495902,45.69668567,50.87123976,61.93240172,Sept,0.1789167
40.78119238,53.38669935,6.542366463,33.5413283,51.05559378,99.9977545,43.2685809,77.67368732,85.0803362,2.052421224,52.89544387,20.72590677,33.27891375,14.87588343,60.93964111,19.05177736,8.683379232,34.97677755,12.93466182,33.91477233,8.513095545,27.83436367,26.82322648,84.05768103,43.34974091,18.98958196,Nov,2.434417493
80.55884715,38.63728805,36.43466945,92.36380053,51.16265275,1.584114477,21.07744747,21.44310036,55.88480281,0.416740389,6.761754312,54.87727053,93.41649455,73.50105491,50.32225076,42.8177934,6.817933219,47.06281752,20.98303686,76.97852791,61.54193812,20.39772595,44.66917947,55.09984901,22.66947548,88.97796759,May,0.206357625
62.82926679,70.82797484,52.69364173,47.48544265,63.28746195,97.94180596,7.4661304,32.70895463,61.19734923,10.0455087,21.02099443,43.39571968,16.76199583,95.08729905,80.20142855,47.44370418,74.11240029,44.97531543,65.10566946,32.63556382,46.6268128,8.886101088,43.71402003,39.76053661,89.3356605,85.42627779,Aug,0.442755978
40.87826481,78.35884501,49.95670341,10.62982634,65.77959097,72.04293155,97.88657533,35.12620889,49.70855553,14.00712441,82.12696936,93.38453095,87.78881824,2.5266322,45.07916815,57.69327841,52.81912576,37.234711,8.713812768,68.30702798,91.66310936,10.86305137,4.253237353,60.36751083,68.39102899,9.39716536,Jun,0.531081846
45.57675469,42.50626283,40.33881642,11.40340772,8.021666949,17.53486468,82.10353501,24.63121367,62.09481596,58.12454373,34.29253421,60.39222006,77.83946939,82.07276728,7.098683407,47.76316316,69.69784353,14.88600725,5.284586234,69.44506209,99.77761358,78.09829855,11.17940536,3.649903994,73.77137288,87.36608754,Jul,0.276425086
69.09440599,14.39318428,94.38992815,72.45203845,95.48667713,39.75008598,99.2420804,15.47525895,98.62203852,78.07102864,29.7842083,49.68746714,43.83401858,91.59169384,84.98170611,92.75172099,65.24495994,58.11960247,88.31396941,61.67492477,40.94836048,50.69570984,36.05904661,15.44199072,87.71010078,35.95404275,Dec,0.139384961
20.04787414,91.89512494,67.00684958,56.07676827,67.35923316,0.992486973,84.30012602,24.02522546,92.96604789,65.20385448,76.2989899,46.32988312,3.575709023,32.4696601,54.09525879,4.812581753,67.76382421,45.25692807,98.91838113,12.08311489,0.87743851,68.18750758,75.96827112,14.90740855,28.50816294,5.814387107,Jul,0.260184196
2.186226953,53.62102807,7.013034404,71.13502947,5.734615611,88.33173175,83.94934513,40.79010699,71.54480429,71.80048066,38.86777289,14.12563756,31.03058729,12.00188278,25.28709481,7.83652995,14.73852912,36.80640315,29.12552143,92.67595612,28.11717562,32.31899324,72.39819687,13.41014042,24.30299667,37.66270282,Feb,0.69115518
68.54913084,60.06440379,49.52688489,79.98657319,7.906056846,75.28285865,18.98165118,3.286032404,25.16957897,89.57805562,69.32473412,86.43867703,20.62093399,60.00267218,39.56388592,83.10637697,93.56378686,40.83659277,62.54442949,27.90909917,86.30426305,37.14598021,1.530258839,33.79538535,46.69872897,4.20989903,Nov,0.023723525
70.48387852,29.68507637,71.51174318,74.65271283,82.84289591,45.12414719,76.96058069,47.35448555,15.3780365,21.83854791,91.40869043,74.26337748,54.89713183,52.89598917,73.36320191,25.30055416,76.74802146,30.17462619,26.55951397,6.040742183,95.93750919,39.80317519,16.48248243,41.53052746,86.02884637,43.35234148,Jan,0.934163871
69.79401766,19.78294782,91.50377269,44.78659146,49.75601318,28.02869613,90.91186789,57.30485867,53.64935366,98.41790979,32.68988867,2.248963191,52.71386483,50.94740264,6.045840222,86.52525271,49.34991561,77.83802781,73.05158123,29.58600954,94.14528738,96.89284203,50.78039904,2.226023497,86.6531728,89.39539939,Mar,1.354771095
50.34576231,33.30107024,15.19967249,48.58189808,93.55297027,50.13729166,61.98606464,61.31160746,72.42415033,42.55627741,26.88202425,4.766743573,20.94399187,59.98849138,61.33015513,87.69383424,2.767819227,13.06784177,70.22408189,68.60510551,4.059322277,53.24658949,88.15005706,32.86371455,7.164555405,60.46757234,Aug,1.532310256
99.22336035,7.036999528,57.5318311,87.17890767,51.52171468,20.07692858,87.80102855,4.73741912,64.08336906,66.7445487,19.66044322,16.30069302,69.96107694,73.85875308,37.23006294,64.81470005,45.10015733,66.47801936,32.81861328,78.68986037,14.96752984,92.04790541,50.1102871,80.9605068,68.6960013,62.39572339,Aug,0.055162237
8.235460076,10.27536877,11.37952318,98.11381823,31.57818803,52.42552746,66.96151782,24.45387118,89.50221906,51.27182381,52.17868938,22.80100207,94.26941755,22.90368279,1.005467702,51.5900768,95.70817405,57.28181574,8.168629007,51.48559267,61.95735836,14.99522926,5.146890114,78.60114153,84.22442437,42.71763426,Jul,0.260932274
51.2772996,73.00649415,53.08145924,16.25920927,10.41654201,3.094074241,48.51076962,92.12719669,70.89061487,52.5722183,78.28179776,99.8606943,24.81830911,94.9593081,64.92375695,95.02784827,97.74078275,26.69331186,64.7801732,41.6709907,5.686566572,92.45161623,31.28450286,43.60213651,91.38040213,53.99771181,Oct,3.419776839
63.23433245,39.08734816,74.13769265,98.76319977,8.278797213,64.01166806,43.57032358,95.38033616,22.61187098,21.64407755,82.25550149,65.62836971,76.87525778,32.3220963,87.54032314,29.36210871,80.6841685,76.01886692,80.04209591,60.58638337,12.80893928,19.27963107,52.26117287,80.97628828,35.6287487,43.63231303,Aug,3.664681374
34.26647331,9.489984999,15.88880897,9.801935474,37.086236,66.71498684,14.65110956,26.00573578,75.66407012,86.63285743,78.22123276,13.50538359,90.4016348,88.64858486,53.08266846,95.12558469,53.71325115,68.25783508,25.72298527,41.65729735,0.409646764,71.26204932,93.71038775,21.78246698,50.11030075,80.85212294,Sept,0.281767945
4.570568954,81.85966124,81.43617479,93.6107253,1.409423612,19.87559064,26.52612029,21.6605548,41.81910544,92.04587345,87.31880905,55.24126023,20.75126038,93.35267168,77.00234728,73.39329845,38.2336335,68.09199863,9.290861918,74.24863846,60.10081053,75.36926597,36.06120522,9.026544487,57.83126797,46.86830416,Feb,0.196543804
44.31376361,62.74511268,53.34521849,69.14275323,97.70648919,83.8878858,4.891408573,95.15263629,19.69207915,77.15167497,55.58663181,89.15616728,0.922557768,80.43973542,75.73107795,74.71913766,61.74175568,32.03678287,10.26013349,96.70122851,78.0060736,62.75972857,9.390964816,92.31679098,27.29365015,15.18054662,Oct,3.631939852
46.71193707,71.60212469,82.39192441,18.55850411,24.74888314,61.40387974,46.05090062,34.03459475,86.25730421,47.49432126,55.47840029,59.84886545,87.85021381,6.178727236,96.06548345,40.59361308,76.23916024,38.63843192,89.05491129,58.14772668,68.47796944,66.81294136,2.007057425,95.55582441,49.84868728,83.86938767,Nov,0.486499114
30.54083617,2.844215165,28.75753084,14.94530337,85.9147875,66.58971544,64.34058063,40.60341396,86.49376706,63.27132461,85.79172281,60.95078073,32.84627275,90.38633424,38.98888067,37.39547313,25.00621428,54.37276241,46.17936457,31.75763663,94.84923145,51.88625406,29.4225927,32.86172881,16.06653469,63.7902918,Feb,0.684865231
56.69814046,26.70019288,95.12118717,67.21407338,87.33609066,52.3480139,65.25816078,45.79147641,64.25183288,79.50714085,54.47569426,63.97207907,30.74152272,89.47549728,62.26611133,30.01694397,24.85210303,91.90292927,51.4519113,14.49805133,67.88429522,3.818645249,8.495871198,89.92944306,35.20524759,53.46779324,Dec,0.869660801
22.91186099,85.49010852,1.511824046,54.75200914,55.77179662,7.954991474,25.21877649,28.02733223,35.07442425,52.64432063,1.086079207,95.85721361,79.93911121,86.03178996,87.59663646,35.50687838,50.35772801,20.05437758,77.80438267,8.730239458,90.70636609,19.04120487,93.76152599,61.31779393,57.06454768,36.32634195,Jun,0.326360546
35.87115631,26.44379605,97.64859606,96.73635233,98.45610714,37.5107852,72.15368323,1.362424585,48.1183864,67.90689242,68.84491001,88.03420918,79.60487103,91.67700368,46.0325427,92.29239695,56.155132,86.32497249,55.77445424,93.52690078,46.06060431,27.13746447,89.92858916,70.09477929,24.82122983,93.40035679,Sept,0.029562817
46.00397943,55.37746705,71.53808979,5.432850623,56.75820005,69.36140601,38.18181136,69.90263009,27.95565716,23.74256348,33.26674683,6.472287576,1.204379797,75.93858753,44.65019864,38.0374511,58.59230417,50.22154517,44.06031119,60.26588825,15.22430796,64.19740821,10.34473045,33.48950946,12.28282841,66.48288887,Jul,1.975206417
85.83588854,68.37099717,67.95023806,88.6813409,79.99971826,54.94771578,43.1932631,43.49305454,75.30332465,26.89622116,67.31946943,94.92942468,90.95363606,66.09623973,96.8227502,6.154510775,43.77598123,50.62486804,74.3989059,19.43567103,71.66058177,61.46355382,79.30240638,88.82438345,21.56296845,47.46684164,Sept,0.786783474
31.04897449,29.46663749,82.29050104,74.87840208,44.7960292,30.43518484,2.454573795,69.53585664,11.69042209,24.90392803,36.25300073,17.83794263,75.42697368,94.93866964,92.90615625,0.474724741,48.12798142,71.18673687,8.299396085,70.61769847,75.60010833,45.53718117,42.99066719,34.23502532,39.28190652,74.78244359,Oct,1.94104031
48.20955482,48.45443951,85.52780665,15.94571248,86.56259836,21.60605888,2.176415698,61.36765367,58.69982546,14.20368026,95.10016889,82.19440804,61.70031656,8.126398912,28.2215057,37.82170344,30.75610029,33.00074084,15.40035149,9.055976761,98.77461683,17.60998973,33.67655832,46.81511667,11.45424907,0.573159024,Apr,1.516690402
