A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,month,y
15.38420818,43.70958401,35.03742683,87.03730948,74.41625083,79.00600699,45.69454177,83.00169571,24.3707659,0.063375253,89.35016232,36.09304536,68.07725528,31.14833125,74.65130989,15.44375114,37.514641,87.15860825,12.6939378,56.7059462,39.35881172,99.17962883,23.05950465,76.39819231,84.88081149,30.23644061,Oct,2.7724978
56.93583372,86.68405556,1.129352029,33.95012107,57.71003792,53.20355612,87.23740174,43.92256478,51.90405825,7.672253712,24.95619534,89.63019202,30.14823297,13.22513013,52.27062637,28.70736669,47.71278847,40.76711527,10.23592497,47.67351696,16.24026463,74.69008916,52.82681357,20.97864382,7.778044372,24.42208295,Jun,0.809235066
81.319585,38.15240165,94.78468898,49.57378912,59.59057401,6.9079065,49.48037898,37.73871217,8.00844904,20.29963985,12.32649264,30.27755225,94.22511324,0.578751683,50.52236716,76.82038852,54.13783152,74.44029912,90.09519221,90.00086043,39.29630371,83.86795294,1.587805452,65.89011494,46.1527033,56.10026741,Jun,0.600792189
65.92961787,17.02860546,26.83181826,92.36778849,2.30253183,19.93101296,79.06316958,65.2720595,68.12869014,12.67215002,47.64326085,64.46392691,21.84202219,34.47754571,84.08842959,91.00191893,7.842002284,46.70345451,27.32048489,61.55290859,21.2265574,59.84906212,75.65960515,77.18664485,8.570095974,39.93300092,Nov,1.741081575
73.2888289,93.22960445,62.80392228,12.33411562,88.73729271,46.8606343,35.22320489,45.57721017,79.63921643,24.3831887,21.91489991,45.23108522,82.65136706,76.95943933,4.604575238,69.64915128,73.75602722,87.22142684,83.98364416,18.38979287,89.39473938,82.30956529,36.40547184,4.553613946,56.43184384,57.49007043,Sept,0.856137562
22.76461572,80.44192872,95.9147283,23.5787733,52.79837587,94.21688234,7.942772148,65.84668276,41.69280459,21.2433971,99.73926972,98.47344631,4.457151171,79.78071855,5.295712505,33.31713215,34.61299604,80.45765083,31.38683966,55.40323263,51.93768394,25.25765296,9.508538984,36.84535515,63.77558672,56.40405825,Jan,1.741250007
17.7993726,94.38430824,98.91614189,28.5752237,7.141556494,66.74103608,78.5545974,61.97349102,99.34677348,67.68717751,51.77620774,52.75295068,88.76819864,27.17641237,47.34000562,8.934321577,29.44323585,25.87156211,74.72661894,94.26531334,57.41286136,52.08912416,58.28853621,34.77551883,56.174371,80.73627502,Aug,1.56341169
90.54743974,99.53848529,80.08168185,37.61774507,99.18728536,33.48131844,19.50873969,38.94305538,95.3884624,16.44964319,14.61511151,65.77087935,4.367944983,74.95453426,18.78783435,21.78104886,57.21207217,56.13614963,92.00421091,44.95957455,14.30639924,35.04999012,63.16863028,39.33259919,65.8284591,54.50735691,Dec,0.630586735
38.6071496,26.01781512,26.60508343,81.86499605,61.18701239,67.87872274,84.44264567,27.19667617,55.54354046,33.18491401,59.96169436,24.31326332,24.42459975,35.8611715,74.77957576,50.85141394,13.94683625,46.61708119,25.77126826,26.86737843,69.71041349,42.65104324,6.537046462,91.57031455,9.432719766,22.70381858,Dec,0.328917902
60.81057886,59.91724561,13.00642077,67.02049547,64.27302932,59.6167315,76.90847711,6.343280986,72.96256416,21.2706364,33.54278704,30.18397227,38.84957407,92.56746387,69.0909391,52.63521642,40.94922283,53.3986312,23.43221396,80.27840758,63.24229679,59.95237046,78.28232477,53.41349203,5.840729604,25.35334115,May,0.051329544
66.45119698,84.21790538,68.93448617,99.12918284,51.64452645,25.0304229,80.87807711,47.47982808,81.47583232,29.41546772,74.83651238,49.09678657,7.631520746,8.907041066,70.47746344,64.9613308,96.66490176,16.42466754,0.06438178,30.76110913,76.64228712,2.290154963,23.35878814,69.08835006,47.01865695,90.2929694,Mar,0.939287292
28.44499293,4.954274644,4.193366527,48.71491583,41.24880212,54.12689542,18.79065199,91.45678758,18.44868842,69.59127843,1.817176096,56.77286664,36.69246992,7.822161005,67.16918664,70.62972935,45.97752551,60.21095716,89.06775789,31.41347752,14.01923105,28.07307529,94.64292063,24.10461077,54.93381769,2.187356801,Aug,3.357063792
7.043281578,8.875661636,34.96354684,35.56477072,43.87637461,99.64070377,24.41343286,33.82250171,55.30207411,67.90237729,72.65631818,86.98882274,63.16245384,62.8598242,57.01428661,39.86323654,99.42901472,7.608554246,40.0867811,68.74708556,92.96869893,97.8815164,65.96730069,76.49399525,8.751945621,88.15557144,Dec,0.466317335
10.79161362,8.91794157,10.37248342,59.04275388,95.23252663,80.04785231,56.32559045,95.52454032,70.84849344,43.43946344,16.7565191,44.2039359,79.50800546,38.5489891,18.57054697,44.60034583,10.57082962,73.81354418,10.98743124,84.77464202,23.23920563,6.484250891,90.1948812,46.53366226,74.95832316,42.989246,May,3.669031121
33.06368409,18.96934967,55.13050773,57.96447907,39.01323091,94.87945949,78.32101195,23.55311223,14.63051337,54.34222278,59.22337054,99.46872295,54.64961044,34.13144511,58.39567341,83.04884444,37.77796192,50.50220837,27.97715707,34.25857917,48.07513214,24.28943031,90.918425,84.69053682,81.15546375,97.38650208,Apr,0.252008679
